slide_number,tag,response,type,story,Answer.condition,audio,first,scale,slide_type,workerid,list,trial_num,image,Answer.time_in_minutes
,filler_lowbias,0.41,filler,plane crash,undefined,,Lamar,filler,,4,3,9,,4.857633333333333
,filler_lowbias,0.52,filler,quadruplets,undefined,,Cody,filler,,4,3,10,,4.857633333333333
,repress,0.44,critical,n/n+m stolen,undefined,,Connor,"{'weak': 'three', 'strong': 'more than three'}",,4,3,11,,4.857633333333333
,evoke,0.29,critical,some/all prison,undefined,,Tremayne,"{'weak': 'some', 'strong': 'all'}",,4,3,12,,4.857633333333333
,filler_highbias,0.64,filler,sister,undefined,,Deandre,filler,,4,3,13,,4.857633333333333
,evoke,0.18,critical,n/n+m murder,undefined,,Paul,"{'weak': 'three', 'strong': 'more than three'}",,4,3,14,,4.857633333333333
,exclusion_wrong,0.01,exclusion,math4,undefined,,,filler,,4,3,15,,4.857633333333333
,filler_highbias,0.88,filler,sports,undefined,,Deshawn,filler,,4,3,16,,4.857633333333333
,exclusion_wrong,0.01,exclusion,math3,undefined,,,filler,,4,3,17,,4.857633333333333
,filler_highbias,0.7,filler,movies,undefined,,Logan,filler,,4,3,18,,4.857633333333333
,evoke,0.36,critical,or/and threat,undefined,,Jack,"{'weak': 'or', 'strong': 'and'}",,4,3,19,,4.857633333333333
,filler_highbias,0.74,filler,dog,undefined,,Brett,filler,,4,3,20,,4.857633333333333
,repress,0.65,critical,some/all respect,undefined,,Peter,"{'weak': 'some', 'strong': 'all'}",,4,3,21,,4.857633333333333
,filler_lowbias,0.27,filler,lightning,undefined,,Dustin,filler,,4,3,22,,4.857633333333333
,exclusion_right,0.99,exclusion,math1,undefined,,,filler,,4,3,23,,4.857633333333333
